task_id,setting,condition,generated_path_index,initial_noise_index,round,candidate_in_round,memory_size_before_round,predicted_cost,rollout_error,expert_action_error,is_min_cost,is_min_rollout_error,is_min_expert_action_error
4,32x2,experience_on,57,57,2,25,32,-0.2676261365413666,0.027678145095705986,0.8779807686805725,False,False,False
4,32x2,experience_on,58,58,2,26,32,-0.26189786195755005,0.03368961066007614,0.7200168967247009,False,False,False
4,32x2,experience_on,59,59,2,27,32,-0.25830981135368347,0.044931184500455856,0.8448840975761414,False,False,False
4,32x2,experience_on,60,60,2,28,32,-0.26874178647994995,0.05371638759970665,0.8032952547073364,False,False,False
4,32x2,experience_on,61,61,2,29,32,-0.2548781633377075,0.030923163518309593,0.7679359316825867,False,False,False
4,32x2,experience_on,62,62,2,30,32,-0.25833553075790405,0.027111448347568512,0.7557885646820068,False,False,False
4,32x2,experience_on,63,63,2,31,32,-0.2661643624305725,0.03677971661090851,0.9028217792510986,False,False,False
4,32x2,experience_on,64,64,2,32,32,-0.2564905285835266,0.03627040982246399,0.8359882831573486,False,False,False
4,16x4,experience_on,1,1,1,1,0,-0.25131097435951233,0.02659263089299202,0.795640230178833,False,False,False
4,16x4,experience_on,2,2,1,2,0,-0.25513315200805664,0.029371649026870728,0.984650194644928,False,False,False
4,16x4,experience_on,3,3,1,3,0,-0.2635122537612915,0.08405949920415878,1.016491413116455,False,False,False
4,16x4,experience_on,4,4,1,4,0,-0.25526636838912964,0.03370741009712219,0.9026116728782654,False,False,False
4,16x4,experience_on,5,5,1,5,0,-0.2524310052394867,0.025512177497148514,0.8862945437431335,False,False,False
4,16x4,experience_on,6,6,1,6,0,-0.2627251148223877,0.07358065247535706,0.861827552318573,False,False,False
4,16x4,experience_on,7,7,1,7,0,-0.23658835887908936,0.06944260746240616,0.9611803889274597,False,False,False
4,16x4,experience_on,8,8,1,8,0,-0.24663250148296356,0.024102330207824707,0.7429594397544861,False,False,False
4,16x4,experience_on,9,9,1,9,0,-0.26705819368362427,0.04904352128505707,0.8476824164390564,False,False,False
4,16x4,experience_on,10,10,1,10,0,-0.2598003149032593,0.0397908091545105,0.864084780216217,False,False,False
4,16x4,experience_on,11,11,1,11,0,-0.26004600524902344,0.031299442052841187,0.9044201374053955,False,False,False
4,16x4,experience_on,12,12,1,12,0,-0.25747811794281006,0.05941344052553177,0.8845749497413635,False,False,False
4,16x4,experience_on,13,13,1,13,0,-0.25769853591918945,0.057474285364151,0.690970778465271,False,False,True
4,16x4,experience_on,14,14,1,14,0,-0.26646047830581665,0.04180338978767395,0.9431134462356567,False,False,False
4,16x4,experience_on,15,15,1,15,0,-0.25659117102622986,0.08947005122900009,0.7528901696205139,False,False,False
4,16x4,experience_on,16,16,1,16,0,-0.2543339729309082,0.03534206748008728,0.8507168292999268,False,False,False
