task_id,setting,condition,generated_path_index,initial_noise_index,round,candidate_in_round,memory_size_before_round,predicted_cost,rollout_error,is_min_cost,is_min_rollout_error
5,16x4,experience_on,37,37,3,5,32,-0.3816624879837036,0.16195207834243774,False,False
5,16x4,experience_on,38,38,3,6,32,-0.3729438781738281,0.22974133491516113,False,False
5,16x4,experience_on,39,39,3,7,32,-0.37753674387931824,0.14531581103801727,False,False
5,16x4,experience_on,40,40,3,8,32,-0.38206028938293457,0.22291719913482666,False,False
5,16x4,experience_on,41,41,3,9,32,-0.37167805433273315,0.2932840585708618,False,False
5,16x4,experience_on,42,42,3,10,32,-0.37574490904808044,0.29716962575912476,False,False
5,16x4,experience_on,43,43,3,11,32,-0.3911808729171753,0.12367236614227295,False,False
5,16x4,experience_on,44,44,3,12,32,-0.37199804186820984,0.2635841965675354,False,False
5,16x4,experience_on,45,45,3,13,32,-0.38440313935279846,0.9093033075332642,False,False
5,16x4,experience_on,46,46,3,14,32,-0.38137805461883545,0.26833680272102356,False,False
5,16x4,experience_on,47,47,3,15,32,-0.38593345880508423,0.28173118829727173,False,False
5,16x4,experience_on,48,48,3,16,32,-0.37884363532066345,0.21058833599090576,False,False
5,16x4,experience_on,49,49,4,1,48,-0.3804858326911926,1.7107652425765991,False,False
5,16x4,experience_on,50,50,4,2,48,-0.3900884985923767,0.15641167759895325,False,False
5,16x4,experience_on,51,51,4,3,48,-0.3866002559661865,0.15012410283088684,False,False
5,16x4,experience_on,52,52,4,4,48,-0.3691556751728058,1.263271450996399,False,False
5,16x4,experience_on,53,53,4,5,48,-0.3768691122531891,0.5753147006034851,False,False
5,16x4,experience_on,54,54,4,6,48,-0.3909567892551422,0.2407824844121933,False,False
5,16x4,experience_on,55,55,4,7,48,-0.3936278223991394,0.17243731021881104,False,False
5,16x4,experience_on,56,56,4,8,48,-0.3778894543647766,0.3035963773727417,False,False
5,16x4,experience_on,57,57,4,9,48,-0.3849034309387207,0.23110580444335938,False,False
5,16x4,experience_on,58,58,4,10,48,-0.3737133741378784,0.09450672566890717,False,False
5,16x4,experience_on,59,59,4,11,48,-0.39129918813705444,0.11081114411354065,False,False
5,16x4,experience_on,60,60,4,12,48,-0.3930245637893677,0.08267681300640106,False,False
5,16x4,experience_on,61,61,4,13,48,-0.3956444561481476,0.4088537395000458,False,False
5,16x4,experience_on,62,62,4,14,48,-0.38906943798065186,0.2575061023235321,False,False
5,16x4,experience_on,63,63,4,15,48,-0.3875548839569092,0.08165239542722702,False,False
5,16x4,experience_on,64,64,4,16,48,-0.3871392607688904,0.049676984548568726,False,False
5,8x8,experience_on,1,1,1,1,0,-0.3784889578819275,0.1630411595106125,False,False
5,8x8,experience_on,2,2,1,2,0,-0.3841114044189453,0.3012963533401489,False,False
5,8x8,experience_on,3,3,1,3,0,-0.38392993807792664,0.41319888830184937,False,False
5,8x8,experience_on,4,4,1,4,0,-0.3730317950248718,0.23855197429656982,False,False
5,8x8,experience_on,5,5,1,5,0,-0.39026960730552673,0.16027197241783142,False,False
5,8x8,experience_on,6,6,1,6,0,-0.39180561900138855,0.1649261862039566,False,False
5,8x8,experience_on,7,7,1,7,0,-0.38720959424972534,0.3356247842311859,False,False
5,8x8,experience_on,8,8,1,8,0,-0.39126473665237427,0.03046869859099388,False,True
5,8x8,experience_on,9,9,2,1,8,-0.39729541540145874,0.08164367079734802,True,False
5,8x8,experience_on,10,10,2,2,8,-0.37334713339805603,0.3125399351119995,False,False
5,8x8,experience_on,11,11,2,3,8,-0.3724319636821747,0.40256282687187195,False,False
5,8x8,experience_on,12,12,2,4,8,-0.3882317543029785,0.455064058303833,False,False
5,8x8,experience_on,13,13,2,5,8,-0.38374054431915283,0.3448118567466736,False,False
5,8x8,experience_on,14,14,2,6,8,-0.3883186876773834,0.138050377368927,False,False
5,8x8,experience_on,15,15,2,7,8,-0.3853064179420471,0.42279085516929626,False,False
5,8x8,experience_on,16,16,2,8,8,-0.3890853822231293,0.12786591053009033,False,False
5,8x8,experience_on,17,17,3,1,16,-0.3815011978149414,0.3388824462890625,False,False
5,8x8,experience_on,18,18,3,2,16,-0.38548749685287476,0.2782523036003113,False,False
5,8x8,experience_on,19,19,3,3,16,-0.3818543553352356,0.22592473030090332,False,False
5,8x8,experience_on,20,20,3,4,16,-0.37888288497924805,0.15314817428588867,False,False
5,8x8,experience_on,21,21,3,5,16,-0.37545493245124817,0.1437133103609085,False,False
5,8x8,experience_on,22,22,3,6,16,-0.38769084215164185,0.6763854026794434,False,False
5,8x8,experience_on,23,23,3,7,16,-0.3870551586151123,0.22147786617279053,False,False
5,8x8,experience_on,24,24,3,8,16,-0.38257694244384766,0.13333886861801147,False,False
5,8x8,experience_on,25,25,4,1,24,-0.37316176295280457,0.333595871925354,False,False
5,8x8,experience_on,26,26,4,2,24,-0.3899867534637451,0.09107136726379395,False,False
5,8x8,experience_on,27,27,4,3,24,-0.3850274085998535,0.24810609221458435,False,False
5,8x8,experience_on,28,28,4,4,24,-0.3795928359031677,0.09084883332252502,False,False
5,8x8,experience_on,29,29,4,5,24,-0.37040477991104126,0.11661584675312042,False,False
5,8x8,experience_on,30,30,4,6,24,-0.3881900906562805,0.28784605860710144,False,False
5,8x8,experience_on,31,31,4,7,24,-0.38679131865501404,1.1275851726531982,False,False
5,8x8,experience_on,32,32,4,8,24,-0.3911810517311096,0.2112661600112915,False,False
5,8x8,experience_on,33,33,5,1,32,-0.39289677143096924,0.18129077553749084,False,False
5,8x8,experience_on,34,34,5,2,32,-0.38012421131134033,0.22755396366119385,False,False
5,8x8,experience_on,35,35,5,3,32,-0.38899391889572144,0.20113061368465424,False,False
5,8x8,experience_on,36,36,5,4,32,-0.3780255615711212,0.3104516267776489,False,False
5,8x8,experience_on,37,37,5,5,32,-0.3816806674003601,0.16195981204509735,False,False
5,8x8,experience_on,38,38,5,6,32,-0.3729498088359833,0.22976230084896088,False,False
5,8x8,experience_on,39,39,5,7,32,-0.3775399327278137,0.145325168967247,False,False
5,8x8,experience_on,40,40,5,8,32,-0.3820667862892151,0.2229173630475998,False,False
5,8x8,experience_on,41,41,6,1,40,-0.37170717120170593,0.2934325039386749,False,False
5,8x8,experience_on,42,42,6,2,40,-0.37576207518577576,0.29730474948883057,False,False
5,8x8,experience_on,43,43,6,3,40,-0.3911888003349304,0.12376304715871811,False,False
5,8x8,experience_on,44,44,6,4,40,-0.3720325231552124,0.26366108655929565,False,False
5,8x8,experience_on,45,45,6,5,40,-0.3844388723373413,0.9120790362358093,False,False
5,8x8,experience_on,46,46,6,6,40,-0.3814176023006439,0.2684839963912964,False,False
5,8x8,experience_on,47,47,6,7,40,-0.3859655261039734,0.2818082869052887,False,False
5,8x8,experience_on,48,48,6,8,40,-0.37888166308403015,0.21061138808727264,False,False
5,8x8,experience_on,49,49,7,1,48,-0.3804922103881836,1.7108430862426758,False,False
5,8x8,experience_on,50,50,7,2,48,-0.3900899887084961,0.1564173549413681,False,False
5,8x8,experience_on,51,51,7,3,48,-0.3866047263145447,0.15012693405151367,False,False
5,8x8,experience_on,52,52,7,4,48,-0.3691628873348236,1.2637842893600464,False,False
5,8x8,experience_on,53,53,7,5,48,-0.3768765926361084,0.5753549337387085,False,False
5,8x8,experience_on,54,54,7,6,48,-0.3909602761268616,0.24080495536327362,False,False
5,8x8,experience_on,55,55,7,7,48,-0.3936300277709961,0.17243796586990356,False,False
5,8x8,experience_on,56,56,7,8,48,-0.37789246439933777,0.30360937118530273,False,False
5,8x8,experience_on,57,57,8,1,56,-0.3849197030067444,0.2311834692955017,False,False
5,8x8,experience_on,58,58,8,2,56,-0.3737304210662842,0.09452953189611435,False,False
5,8x8,experience_on,59,59,8,3,56,-0.3913137912750244,0.11084526032209396,False,False
5,8x8,experience_on,60,60,8,4,56,-0.39303064346313477,0.08270605653524399,False,False
5,8x8,experience_on,61,61,8,5,56,-0.39565378427505493,0.40932783484458923,False,False
5,8x8,experience_on,62,62,8,6,56,-0.38907745480537415,0.2575641870498657,False,False
5,8x8,experience_on,63,63,8,7,56,-0.38756197690963745,0.08170844614505768,False,False
5,8x8,experience_on,64,64,8,8,56,-0.3871466815471649,0.04969540238380432,False,False
5,4x16,experience_on,1,1,1,1,0,-0.3784885108470917,0.16304120421409607,False,False
5,4x16,experience_on,2,2,1,2,0,-0.38411128520965576,0.3012966513633728,False,False
5,4x16,experience_on,3,3,1,3,0,-0.3839297890663147,0.4132004678249359,False,False
5,4x16,experience_on,4,4,1,4,0,-0.3730316758155823,0.23855172097682953,False,False
5,4x16,experience_on,5,5,2,1,4,-0.38944804668426514,0.17071005702018738,False,False
5,4x16,experience_on,6,6,2,2,4,-0.39130645990371704,0.16532160341739655,False,False
5,4x16,experience_on,7,7,2,3,4,-0.3874531388282776,0.3348260819911957,False,False
5,4x16,experience_on,8,8,2,4,4,-0.3906729221343994,0.026999175548553467,False,True
5,4x16,experience_on,9,9,3,1,8,-0.39730316400527954,0.08169087022542953,True,False
5,4x16,experience_on,10,10,3,2,8,-0.3733505606651306,0.3126007914543152,False,False
5,4x16,experience_on,11,11,3,3,8,-0.372451514005661,0.4026523530483246,False,False
5,4x16,experience_on,12,12,3,4,8,-0.38823938369750977,0.4553004503250122,False,False
5,4x16,experience_on,13,13,4,1,12,-0.38378793001174927,0.34544870257377625,False,False
5,4x16,experience_on,14,14,4,2,12,-0.38836145401000977,0.13810700178146362,False,False
5,4x16,experience_on,15,15,4,3,12,-0.38532835245132446,0.42342472076416016,False,False
5,4x16,experience_on,16,16,4,4,12,-0.38910529017448425,0.12795940041542053,False,False
5,4x16,experience_on,17,17,5,1,16,-0.38150161504745483,0.3389677405357361,False,False
5,4x16,experience_on,18,18,5,2,16,-0.3854907751083374,0.27828705310821533,False,False
5,4x16,experience_on,19,19,5,3,16,-0.38186192512512207,0.225927472114563,False,False
5,4x16,experience_on,20,20,5,4,16,-0.37888723611831665,0.15315549075603485,False,False
5,4x16,experience_on,21,21,6,1,20,-0.3754563331604004,0.143546000123024,False,False
5,4x16,experience_on,22,22,6,2,20,-0.38769301772117615,0.6747359037399292,False,False
5,4x16,experience_on,23,23,6,3,20,-0.3870597183704376,0.22141456604003906,False,False
5,4x16,experience_on,24,24,6,4,20,-0.38257908821105957,0.13325046002864838,False,False
5,4x16,experience_on,25,25,7,1,24,-0.3731650412082672,0.33361566066741943,False,False
5,4x16,experience_on,26,26,7,2,24,-0.38999009132385254,0.09107647836208344,False,False
5,4x16,experience_on,27,27,7,3,24,-0.3850302994251251,0.24811244010925293,False,False
5,4x16,experience_on,28,28,7,4,24,-0.37959450483322144,0.09085515141487122,False,False
5,4x16,experience_on,29,29,8,1,28,-0.3704128861427307,0.11661636829376221,False,False
5,4x16,experience_on,30,30,8,2,28,-0.38819292187690735,0.28779107332229614,False,False
5,4x16,experience_on,31,31,8,3,28,-0.3867916762828827,1.124210238456726,False,False
